"latitude","longitude","abc","station","prefixe","arms_name","arms_number","b_m_t","o_c","plate_number","Orientation","arms_campaign","image_name","arms","immersion_season","recovery_season","imm_time"
-21.10401,55.23598,NA,"CINARMS3","CINA","CINA1C",3,"H","O",9,"D","CINARMS","CINARMS3_9D.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS4","CINA","CINA2A",4,"B","F",1,"U","CINARMS","CINARMS4_1U.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS4","CINA","CINA2A",4,"B","F",2,"D","CINARMS","CINARMS4_2D.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS4","CINA","CINA2A",4,"B","O",2,"U","CINARMS","CINARMS4_2U.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS4","CINA","CINA2A",4,"B","O",3,"D","CINARMS","CINARMS4_3D.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS4","CINA","CINA2A",4,"M","F",3,"U","CINARMS","CINARMS4_3U.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS4","CINA","CINA2A",4,"M","F",4,"D","CINARMS","CINARMS4_4D.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS4","CINA","CINA2A",4,"M","O",4,"U","CINARMS","CINARMS4_4U.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS4","CINA","CINA2A",4,"M","O",5,"D","CINARMS","CINARMS4_5D.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS4","CINA","CINA2A",4,"M","F",5,"U","CINARMS","CINARMS4_5U.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS4","CINA","CINA2A",4,"M","F",6,"D","CINARMS","CINARMS4_6D.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS4","CINA","CINA2A",4,"M","O",6,"U","CINARMS","CINARMS4_6U.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS4","CINA","CINA2A",4,"M","O",7,"D","CINARMS","CINARMS4_7D.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS4","CINA","CINA2A",4,"H","F",7,"U","CINARMS","CINARMS4_7U.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS4","CINA","CINA2A",4,"H","F",8,"D","CINARMS","CINARMS4_8D.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS4","CINA","CINA2A",4,"H","O",8,"U","CINARMS","CINARMS4_8U.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS4","CINA","CINA2A",4,"H","O",9,"D","CINARMS","CINARMS4_9D.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS5","CINA","CINA2B",5,"B","F",1,"U","CINARMS","CINARMS5_1U.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS5","CINA","CINA2B",5,"B","F",2,"D","CINARMS","CINARMS5_2D.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS5","CINA","CINA2B",5,"B","O",2,"U","CINARMS","CINARMS5_2U.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS5","CINA","CINA2B",5,"B","O",3,"D","CINARMS","CINARMS5_3D.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS5","CINA","CINA2B",5,"M","F",3,"U","CINARMS","CINARMS5_3U.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS5","CINA","CINA2B",5,"M","F",4,"D","CINARMS","CINARMS5_4D.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS5","CINA","CINA2B",5,"M","O",4,"U","CINARMS","CINARMS5_4U.jpg","CINA2","imm_hot","rec_hot","1y"
-21.10401,55.23598,NA,"CINARMS5","CINA","CINA2B",5,"M","O",5,"D","CINARMS","CINARMS5_5D.jpg","CINA2","imm_hot","rec_hot","1y"
